"구별","설치위치","표출내용","위치좌표(위도)","위치좌표(경도)"
"중구","중구 세종대로 99 (1호선 시청역 2번 출구 앞)","SO2 PM-10 PM-2.5 O3 NO2 CO","37.565717","126.976971"
"성동구","성동구 광나루로 278(동부세무서 건너편)","SO2 PM-10 PM-2.5 O3 NO2 CO","37.548316","127.06037"
"중랑구","중랑구 망우로 203 (중랑역 동양엔파트 앞)","SO2 PM-10 PM-2.5 O3 NO2 CO","37.59384","127.075298"
"도봉구","도봉구 도봉로 575 (도봉동 삼환프라자 앞)","SO2 PM-10 PM-2.5 O3 NO2 CO","37.656185","127.039009"
"은평구","은평구 통일로 715 (불광역 3번 출구 앞)","SO2 PM-10 PM-2.5 O3 NO2 CO","37.609491","126.930682"
"서대문구","서대문구 수색로 28-3 (가좌역 인근)","SO2 PM-10 PM-2.5 O3 NO2 CO","37.569195","126.915256"
"마포구","마포구 신촌로 110 (신촌역 5번 출구 앞)","SO2 PM-10 PM-2.5 O3 NO2 CO","37.555278","126.93805"
"영등포구","영등포구 영등포로 84 (양남사거리 선암빌딩 앞)","SO2 PM-10 PM-2.5 O3 NO2 CO","37.522056","126.890612"
"구로구","구로구 디지털로 32길 97-12 (구로디지털단지 입구)","SO2 PM-10 PM-2.5 O3 NO2 CO","37.483125","126.901416"
"서초구","서초구 신반포로 177 (반포쇼핑타운 3동 앞)","SO2 PM-10 PM-2.5 O3 NO2 CO","37.505908","127.003438"
"강남구","강남구 도산대로 106 (신사역 2번 출구 앞)","SO2 PM-10 PM-2.5 O3 NO2 CO","37.516365","127.020339"
"송파구","송파구 양재대로 1222(올림픽공원역 1번 출구 앞)","SO2 PM-10 PM-2.5 O3 NO2 CO","37.516614","127.131325"
"강북구","강북구 우이동 산 74 (우이령 전투경찰대 옆)","SO2 PM-10 PM-2.5 O3 NO2 CO","37.67790008","127.00328"